"ORIGIN","n","pfail_raw","pdelay1hr_raw","pfail_ac","pdelay1hr_ac","pfail_bayes","pdelay1hr_bayes"
"ATL",615,0.00650406504065041,0.0276422764227642,0.0175689477136169,0.0445605172271108,0.00782381918284555,0.0315946348733234
"BOS",8,0,0.25,0.381832408122634,0.605498860309242,0.0168269230769231,0.096875
"BUR",2308,0.0147313691507799,0.0519930675909879,0.0207206781376246,0.062067465347104,0.0148539778449144,0.0525380710659899
"CLT",147,0.00680272108843537,0.0816326530612245,0.042579585244187,0.139920326805085,0.0108010801080108,0.0798029556650246
"DAL",84,0.0119047619047619,0.226190476190476,0.0727788911385827,0.32951316575349,0.0150753768844221,0.165714285714286
"DEN",2720,0.00367647058823529,0.0588235294117647,0.00694307122872724,0.0685342494193143,0.00407842014882656,0.059149855907781
"DFW",1325,0.0181132075471698,0.0875471698113208,0.0271616186752004,0.104393269142095,0.018140265676332,0.087038377986966
"HNL",365,0.00547945205479452,0.0438356164383562,0.0216213027333306,0.0712079563999186,0.00772376192639709,0.0479809976247031
"IAD",270,0.00740740740740741,0.107407407407407,0.0290901298395991,0.151411300996851,0.00984936268829664,0.101840490797546
"IAH",749,0.00934579439252336,0.0720961281708945,0.0198725572908754,0.0934918336394825,0.0101917010434361,0.0722981366459627
"JFK",300,0.0166666666666667,0.1,0.0402310063106495,0.140466108108418,0.0170575692963753,0.0960674157303371
"LAS",2720,0.00514705882352941,0.0625,0.00880193485215665,0.0724626089935543,0.00550944476244991,0.0627521613832853
"LAX",6736,0.00786817102137767,0.0669536817102138,0.0103518924432506,0.0733104176938908,0.00798684519614752,0.067020023557126
"LGB",725,0.0096551724137931,0.0593103448275862,0.0205251686419745,0.079555179414374,0.010497375656086,0.0604353393085788
"MDW",434,0.0207373271889401,0.0783410138248848,0.0400671819929492,0.108438988455479,0.0204241948153967,0.0779591836734694
"MSP",594,0,0.0303030303030303,0.00806637684311382,0.0481495488326117,0.00209205020920502,0.0341538461538462
"OGG",365,0,0.0136986301369863,0.0130643674688631,0.0331736365924439,0.00318037255792821,0.0218527315914489
"ONT",2237,0.00536432722396066,0.0518551631649531,0.0095760389239685,0.062090962138078,0.00579534642331978,0.0524204099433057
"ORD",593,0.00674536256323777,0.111298482293423,0.0182149067523794,0.139907484303259,0.00808141275067345,0.108166409861325
"PDX",1787,0.00223838836038053,0.0414101846670397,0.00608083004218238,0.0519607209788451,0.00289979594028568,0.0424308193163321
"PHL",75,0.0533333333333333,0.133333333333333,0.135560367996476,0.232662652907908,0.0359520639147803,0.108396946564885
"PHX",3442,0.0031958163858222,0.0412550842533411,0.00586113981220102,0.0486051068013915,0.00352553167292164,0.0417953116066324
"SAN",3132,0.00606641123882503,0.0440613026819923,0.00960918780396127,0.0520185162667222,0.00636068845098528,0.0446047678795483
"SEA",3338,0.00269622528460156,0.0356500898741762,0.00527298746385229,0.0426684810999143,0.00304699402320403,0.0362993517972893
"SFO",2194,0.0902461257976299,0.171376481312671,0.103260585776748,0.188072453140487,0.0878723779305482,0.168977777777778
"SLC",1503,0.00199600798403194,0.0266134397870925,0.0062804982434143,0.036350091068566,0.00278798631352173,0.0283515073765234
"SNA",2324,0.00688468158347676,0.0425989672977625,0.0113627207025017,0.0518294261398889,0.00725241747249083,0.0433613445378151
